seed,K_true,profile_id,model,true_separation,true_nabc_separation,true_cosine_separation,mcmc_converged,benchmark_pass,publication_status,sampler_status,mixing_status,interpretation_status,active_component_count,similarity_adjusted_count,nabc_effective_count,shannon_count
21,3,tv18_mid,mixture_k3,0.18107205652813455,0.09980907737580474,0.05815107171255429,True,True,Pass,Pass,Pass,Pass,3.0,1.2015712487195127,1.1960897434016136,2.273338174696553
7,3,tv18_mid,mixture_k2,0.18107206794603634,0.09980908382874464,0.05815107846372095,False,False,Fail,Pass,Fail,Fail,2.0,1.1586790089169834,1.29475095127566,1.8652161881234295
17,3,tv18_mid,mixture_k3,0.18107206794603634,0.09980908382874464,0.05815107846372095,True,True,Pass,Pass,Pass,Pass,3.0,1.2548989096373147,1.199312776104806,2.382889524096935
8,3,tv18_mid,mixture_k2,0.1810720806671077,0.09980909101818376,0.05815108598542559,False,False,Fail,Pass,Fail,Fail,2.0,1.1466692278087158,1.399755954873737,1.8648285725960172
18,3,tv18_mid,mixture_k3,0.1810720806671077,0.09980909101818376,0.05815108598542559,True,True,Pass,Pass,Pass,Pass,3.0,1.1885825358197823,1.2009186728573238,2.2222379487585138
10,3,tv18_mid,mixture_k2,0.18107208409845846,0.09980909502707218,0.05815108736383815,False,False,Fail,Pass,Fail,Fail,2.0,1.1680558302832824,1.0953633179877196,1.9258919642032073
20,3,tv18_mid,mixture_k3,0.18107208409845846,0.09980909502707218,0.05815108736383815,True,True,Pass,Pass,Pass,Pass,3.0,1.1909574769395816,1.2095596836425229,2.3510386155201295
9,3,tv41_high,mixture_k2,0.40952619393862455,0.20875786085152057,0.2754447638549461,False,False,Fail,Pass,Fail,Fail,2.0,1.2054439522365228,1.217916409634265,1.892067928354719
19,3,tv41_high,mixture_k3,0.40952619393862455,0.20875786085152057,0.2754447638549461,True,True,Pass,Pass,Pass,Pass,3.0,1.3144057219567828,1.1645653416281376,2.6947693873057044
11,3,tv41_high,mixture_k2,0.40952619480971597,0.20875786129789445,0.27544476476251734,True,True,Pass,Pass,Pass,Pass,2.0,1.2246777071241204,1.1893205516638548,1.9991987561661961
21,3,tv41_high,mixture_k3,0.40952619480971597,0.20875786129789445,0.27544476476251734,True,True,Pass,Pass,Pass,Pass,3.0,1.2667965222325803,1.2348749172632285,2.9042216460144523
7,3,tv41_high,mixture_k2,0.4095262057154864,0.20875786688634448,0.27544477612500184,True,True,Pass,Pass,Pass,Pass,2.0,1.2606714501835499,1.140940756005619,1.9900525596249294
17,3,tv41_high,mixture_k3,0.4095262057154864,0.20875786688634448,0.27544477612500184,True,True,Pass,Pass,Pass,Pass,3.0,1.2764263064802965,1.183635466616148,2.92621491690335
8,3,tv41_high,mixture_k2,0.40952621786597493,0.20875787311262617,0.27544478878433193,True,True,Pass,Pass,Pass,Pass,2.0,1.065205699103087,1.5426575487868892,1.7912419102249248
18,3,tv41_high,mixture_k3,0.40952621786597493,0.20875787311262617,0.27544478878433193,False,False,Fail,Pass,Fail,Fail,3.0,1.1934139549488674,1.192406191143551,2.906970904009798
10,3,tv41_high,mixture_k2,0.40952622822747226,0.20875787617636019,0.27544479935788707,False,False,Fail,Pass,Fail,Fail,2.0,1.0782166210201762,1.0395739072716168,1.998783726333406
20,3,tv41_high,mixture_k3,0.40952622822747226,0.20875787617636019,0.27544479935788707,True,True,Pass,Pass,Pass,Pass,3.0,1.2716323604189474,1.21016347335899,2.8449720526935787
11,3,tv73_extreme,mixture_k2,0.7255207041199622,0.3357700334610292,0.6912487590680958,True,True,Pass,Pass,Pass,Pass,2.0,1.0861694335039498,1.6289679970490767,1.993112307638746
21,3,tv73_extreme,mixture_k3,0.7255207041199622,0.3357700334610292,0.6912487590680958,True,True,Pass,Pass,Pass,Pass,3.0,1.5020979644482446,1.317674755468686,2.9255498466226317
9,3,tv73_extreme,mixture_k2,0.7255207079921299,0.33577003377278714,0.6912487629507053,False,False,Fail,Pass,Fail,Fail,2.0,1.252574051000173,1.5560609939217274,1.8504291099248653
19,3,tv73_extreme,mixture_k3,0.7255207079921299,0.33577003377278714,0.6912487629507053,False,False,Fail,Pass,Fail,Fail,3.0,1.715991662080493,1.243342574574332,2.653555003153923
7,3,tv73_extreme,mixture_k2,0.7255207142715897,0.33577004061084076,0.6912487696560167,True,True,Pass,Pass,Pass,Pass,2.0,1.0077217052999823,1.660178288714612,1.9449657553526272
17,3,tv73_extreme,mixture_k3,0.7255207142715897,0.33577004061084076,0.6912487696560167,False,False,Fail,Pass,Fail,Fail,3.0,1.5494250290910507,1.2152473893442255,2.9410928336296993
8,3,tv73_extreme,mixture_k2,0.725520720750268,0.3357700476658351,0.6912487765740579,True,True,Pass,Pass,Pass,Pass,2.0,1.063919644911527,1.566166545316671,1.8903267385215667
18,3,tv73_extreme,mixture_k3,0.725520720750268,0.3357700476658351,0.6912487765740579,True,True,Pass,Pass,Pass,Pass,3.0,1.3044566007809024,1.507511634171135,2.7425408779781724
10,3,tv73_extreme,mixture_k2,0.7255207363195937,0.33577006558066774,0.691248793386217,True,True,Pass,Pass,Pass,Pass,2.0,1.0320720665810736,1.663275899713412,1.9498555578755061
20,3,tv73_extreme,mixture_k3,0.7255207363195937,0.33577006558066774,0.691248793386217,False,False,Fail,Pass,Fail,Fail,3.0,1.1431408900044966,1.0686914631164857,2.9868638988481155
